id,parents,labels
DESC154054,DESC154052,Le Caire
DESC899899,DESC154052,Port-Saïd
DESC154161,DESC154159,Irak
DESC987746,DESC154161,Bagdad
DESC154164,DESC154161,Kurdistan
DESC146069,DESC154159,Iran
DESC812279,DESC146069,Jeyhunabab
DESC873251,DESC146069,Louristan
DESC146068,DESC146069,Meshhed
DESC927514,DESC146069,Suse
DESC149302,DESC146069,Teheran
DESC142918,DESC154159,Israël
Bethléem,DESC142918,Bethléem
DESC1091424,DESC142918,Canaan
DESC146893,DESC142918,Haïfa
DESC142917,DESC142918,Jerusalem
DESC147828,DESC142918,Megiddo
DESC1000547,DESC142918,Tel-Aviv
DESC151894,DESC154159,Jordanie
KOWEIT,DESC154159,Koweït
DESC148847,DESC154159,Liban
DESC1036638,DESC148847,Tyr
DESC138102,DESC154159,Mésopotamie
DESC154753,DESC138102,Babylone
DESC155371,DESC138102,Mari
DESC154754,DESC138102,Sumer
DESC153433,DESC138102,Ur
DESC147110,DESC154159,Oman
DESC153294,DESC154159,Palestine
DESC821258,DESC154159,Qatar
DESC154169,DESC154159,Syrie
DESC927435,DESC154169,Alep
DESC154170,DESC154169,Damas
DESC138442,DESC154169,Ougarit
DESC144561,DESC154159,Turquie
DESC884339,DESC144561,Anatolie
DESC154174,DESC144561,Ankara
DESC154175,DESC144561,Constantinople
DESC149085,DESC144561,Istanbul
DESC154164,DESC144561,Kurdistan
DESC154176,DESC144561,Smyrne
DESC146446,DESC144561,Trebizonde
DESC154162,DESC154159,Yémen
DESC1017742,DESC154162,Sanaa
DESC900710,DESC1160884,Europe
DESC144554,DESC900710,Albanie
DESC846270,DESC144554,Korce
DESC153250,DESC144554,Tirana
DESC144572,DESC900710,Allemagne
DESC144573,DESC144572,Adorf
DESC143622,DESC144572,Aix-la-Chapelle
DESC876079,DESC144572,Alfeld
DESC144574,DESC144572,Altenbruch
DESC144575,DESC144572,Altenburg
DESC144577,DESC144572,Ansbach
DESC144579,DESC144572,Arnstadt
DESC144580,DESC144572,Augsbourg
DESC144582,DESC144572,Bad Krozingen
DESC138629,DESC144572,Bad Sackingen
DESC141180,DESC144572,Baden-Baden
DESC144583,DESC144572,Bade-Wurtemberg
DESC1152152,DESC144583,Remchingen
DESC141767,DESC144572,Bamberg
